"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-piR-23997",1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,2,2,0,0,2,0,1,0,1,0,4,1,2,1,0,1,0,4,2,0,1,2,2,0,1,3,1,1,2,0,1,2,4,0,0,0,0,1,2,0,1,0,0,1,1,0,1,0
"hsa-piR-257",2,0,0,1,0,0,0,1,2,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,3,0,1,0,1,2,1,0,1,1,0,2,0,1,4,1,1,2,0,0,1,2,0,3,1,1,3,1,3,4,6,6,5,3,1,2,1
"hsa-piR-26271",0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,2,1,0,2,0,0,1,3,0,0,2,1,2,0,0,2,0,1,0,0,2,2,2,9,7,6,8,10,8,2,8,5,6,3,5,3,0,6
"hsa-piR-26832",1,1,1,0,1,3,3,3,2,3,0,3,1,2,0,5,2,0,2,1,3,2,2,1,3,1,4,2,8,3,3,0,2,0,2,1,3,2,12,17,3,2,0,2,3,0,2,2,2,10,7,7,2,9,5,3,3,4,6,3,10,7,2,1,19,2,2
"hsa-piR-26844",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-piR-28104",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1
"hsa-piR-28117",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-piR-28169",0,0,0,0,0,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"hsa-piR-28191",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"hsa-piR-30603",1,0,1,5,1,1,0,1,2,2,0,0,1,4,0,1,1,2,1,12,1,0,0,0,0,3,14,1,0,1,1,0,0,0,5,0,7,1,2,0,0,0,1,9,0,0,1,1,2,4,5,1,10,0,0,1,0,0,0,2,0,0,0,1,0,3,19
