"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"TUBB","P07437",15344.5,7,151.738255510682,0.691949570357205,0.0247306689277413,17,0,3657,3589,4049,4049.5,0
"SCYL1","Q96KG9",15342.5,13,195.733479513645,-1.13024946414004,0.00884806417772961,10,0,3874,4004,3722,3742.5,0
"SEC61A1","P61619",15341,15,194.625215232776,1.16437941792506,0.00768668757971114,11,0,3870,4021,3630,3820,0
"TTLL12","Q14166",15336,12,173.632350646544,-0.689196384932448,0.0126397678844092,18,0,3784,3583,3904,4065,0
"MAP2K1","Q02750",15325.5,23,222.342947424656,-0.685214548009275,0.011704707440402,13,0,3948,3578,3866,3933.5,0
"PDE12","Q6L8Q7",15322,17,187.842435489107,-0.739049746542596,0.0167752062333868,11,0,3848,3671,3983,3820,0
"FAAH","O00519",15317.5,8,148.350887875216,-0.776512049615914,0.016498430477187,14,0,3630,3732,3981,3974.5,0
"MRPS36","P82909",15316.5,19,203.385980636826,0.89828272732704,0.0104831024750989,10,0,3899,3865,3810,3742.5,0
"DECR2","Q9NUI1",15311,11,168.51755665218,-0.73704882869937,0.0267401987677432,11,0,3763,3668,4060,3820,0
"MRPS26","Q9BYN8",15310,24,242.808100523966,-1.02228758561238,0.00890450180857001,9,0,3993,3948,3727,3642,0
"RDH10","Q8IZV5",15304.5,7,157.277807009193,0.832345681753205,0.0110481890160064,14,0,3693,3796,3841,3974.5,0
"PGM5","Q15124",15299.5,2,133.239126549653,0.885430604392882,0.0188095679567877,13,0,3509,3853,4004,3933.5,0
"UBLCP1","Q8WVY7",15281,15,178.385322573556,1.09984425393691,0.0111003506395324,9,0,3808,3988,3843,3642,0
"DHX29","Q7Z478",15278,26,240.916015551871,0.842029150739369,0.00723336784925788,12,0,3989,3812,3593,3884,0
"MTFP1","Q9UDX5",15272,11,175.141815139532,-0.802905697189817,0.012518584141138,11,0,3792,3763,3897,3820,0
