"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","source1","source2","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"LBP","P18428",15443,16,199.041092372875,1.08528077510832,0.0166501668607066,10,0,NA,NA,3843,3986,3957,3657,0
"RNPEP","Q9H4A4",15442,22,243.13175621746,0.591777120376165,0.0396644400028953,21,0,NA,NA,3985,3281,4090,4086,0
"DPYSL2","Q16555",15433,30,338.380660686414,-0.571211984318532,0.026664633924045,19,0,NA,NA,4087,3230,4049,4067,0
"PLS1","Q14651",15430,16,187.165679012367,-0.909689017992805,0.0160785260175797,12,0,NA,NA,3794,3859,3950,3827,0
"TOP1","P11387",15425.5,18,216.50358435198,0.843670356802174,0.0118948845719938,13,0,NA,NA,3913,3794,3830,3888.5,0
"CMPK2","Q5EBM0",15398.5,30,287.848568081454,-1.34935451399288,0.0103212841361513,9,0,NA,NA,4049,4072,3769,3508.5,0
"DBNL","Q9UJU6",15385.5,28,271.100645544161,-0.665355811958446,0.017450107970601,13,0,NA,NA,4034,3486,3977,3888.5,0
"DGKZ","Q13574",15384,30,262.142903465924,-1.21686550059266,0.00851670136820007,10,0,NA,NA,4019,4045,3663,3657,0
"FAM177A1","Q8N128",15378.5,11,171.892982773856,-0.799604348216446,0.0201686377001265,14,0,NA,NA,3692,3743,4006,3937.5,0
"RTN4IP1","Q8WWV3",15370,27,269.199291339482,0.902562292304807,0.00958925681308232,11,0,NA,NA,4031,3856,3727,3756,0
"MMRN1","Q13201",15364,25,238.638727949872,1.43616384729587,0.00832925152102703,10,0,NA,NA,3972,4082,3653,3657,0
"ZC3H15","Q8WU90",15352.5,19,223.279545624523,0.983085382388401,0.0185825994066458,9,0,NA,NA,3931,3923,3990,3508.5,0
"STX6","O43752",15351.5,5,136.487375320236,0.899365411947618,0.0286829629774805,17,0,NA,NA,3417,3851,4060,4023.5,0
"MMP25","Q9NPA2",15349.5,10,163.136598968587,-1.12889362482396,0.0116354236513771,13,0,NA,NA,3632,4010,3819,3888.5,0
"PPP1R12C","Q9BZL4",15341.5,24,230.275144396612,0.695481933201896,0.0140047942840358,14,0,NA,NA,3952,3558,3894,3937.5,0
"MRPL45","Q9BRJ2",15338,10,167.891728488098,-1.03777188532267,0.0162490942698443,11,0,NA,NA,3665,3964,3953,3756,0
"DNAJB11","Q9UBS4",15326.5,10,166.028285969752,0.916699574749629,0.0148359652912345,13,0,NA,NA,3653,3864,3921,3888.5,0
"NUDC","Q9Y266",15318.5,11,168.816900355593,0.774332588660195,0.0170743878410893,15,0,NA,NA,3674,3698,3973,3973.5,0
"NAPB","Q9H115",15310.5,16,210.512850448403,-0.681192213996401,0.0145843460972966,15,0,NA,NA,3897,3527,3913,3973.5,0
"HSPA4L","O95757",15308.5,28,291.359570088455,0.642486699558594,0.0136191759479556,14,0,NA,NA,4054,3434,3883,3937.5,0
"WNK1","Q9H4A3",15302.5,26,237.234419011768,0.613274196409148,0.0171416656604063,16,0,NA,NA,3968,3361,3975,3998.5,0
"ENO2","P09104",15293.5,23,244.454058587507,-0.5999697401768,0.0214616058536072,15,0,NA,NA,3988,3313,4019,3973.5,0
"GCC2","Q8IWJ2",15293.5,30,333.367997705867,1.11729338677485,0.00910239289878636,9,0,NA,NA,4084,4002,3699,3508.5,0
"RPS7","P62081",15292,26,270.94079344874,-0.963221917261675,0.00900650847906996,10,0,NA,NA,4033,3911,3691,3657,0
"FSD1","Q9BTV5",15290.5,16,186.468915407758,0.818165043667942,0.0111469434575544,14,0,NA,NA,3790,3767,3796,3937.5,0
"RNASE3","P12724",15280.5,27,268.090035642392,-0.746047183057465,0.00930640595717241,13,0,NA,NA,4029,3653,3710,3888.5,0
"VARS1","P26640",15279,28,245.477093619095,-0.539031407331835,0.0420991877547016,19,0,NA,NA,3990,3128,4094,4067,0
"NUP160","Q12769",15268,10,171.344722883629,-0.856652695487959,0.015606641081051,12,0,NA,NA,3686,3814,3941,3827,0
"SORBS3","O60504",15264,13,181.649901952548,-0.983203059293374,0.0117274306931342,11,0,NA,NA,3762,3924,3822,3756,0
"ERMP1","Q7Z2K6",15250.5,18,223.225355169189,0.699979945853209,0.0128220190289749,13,0,NA,NA,3930,3570,3862,3888.5,0
"TOR4A","Q9NXH8",15249,14,173.405211661393,-1.04713910158932,0.01167565068908,11,0,NA,NA,3705,3968,3820,3756,0
"AIFM2","Q9BRQ8",15245.5,22,244.878136233516,1.11415669506906,0.0150597148181307,8,0,NA,NA,3989,3998,3930,3328.5,0
"GABRA4","P48169",15215,11,160.550251088174,-0.960599530370942,0.0152578994476331,11,0,NA,NA,3617,3908,3934,3756,0
"MCUR1","Q96AQ8",15202,9,175.608248251606,0.851593406291317,0.012159180488376,12,0,NA,NA,3723,3807,3845,3827,0
"NCEH1","Q6PIU2",15195.5,9,154.207825639418,-0.817140003210944,0.0171066039343732,13,0,NA,NA,3570,3763,3974,3888.5,0
"VDAC2","P45880",15193.5,8,154.235603749455,-0.713266422930621,0.0194690125726631,17,0,NA,NA,3572,3598,4000,4023.5,0
