"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-piR-28056",327,0,52.7307198814134,0.215580136264725,0.0410513681538785,15,0,78,96,96,57,0
"hsa-miR-584-5p",325.5,0,62.4202763845515,-0.206357689106023,0.0417141498486087,14,0,93,89,99,44.5,0
"hsa-miR-744-5p",324,0,35.969383299018,-0.0838576172650622,0.0487122558954749,21,0,53,40,115,116,0
"hsa-let-7i-5p",323.5,0,20.2788840368028,-0.010976195718367,0.0652988930180703,25,0,18,5,142,158.5,0
"hsa-miR-23a-3p",308.5,0,47.3981558424198,0.158509341180141,0.03256852546356,19,0,71,71,63,103.5,0
"hsa-piR-32914",302.5,0,63.8114576265389,0.214070785915994,0.0341344111920761,14,0,94,95,69,44.5,0
"hsa-piR-28085",297.5,0,65.403801288571,0.266304285225572,0.0208102797249962,16,0,97,120,10,70.5,0
"hsa-piR-414",296,0,43.7710023341151,0.172432360307534,0.0408223889453228,15,0,66,79,94,57,0
"hsa-miR-122-5p",294.5,0,45.5124863273041,-0.235472038039389,0.0359767400048132,14,0,70,106,74,44.5,0
"hsa-piR-28270",281.5,0,50.209118706498,0.207237844082844,0.0344363980151324,14,0,76,90,71,44.5,0
"hsa-let-7d-5p",278,0,52.8801156593728,0.0943783122578766,0.0323572942362258,18,0,80,41,62,95,0
"hsa-miR-10b-5p",277,0,28.5102991006907,-0.113827646346569,0.0459379350675387,17,0,36,48,110,83,0
"hsa-piR-28059",277,0,51.8690580999619,0.217190147579129,0.0284229594893423,15,0,77,98,45,57,0
"hsa-miR-1-3p",273.5,0,26.969875902282,-0.14909788255905,0.0454214847940838,16,0,34,61,108,70.5,0
"hsa-miR-199a-3p",266.5,0,57.3019781161977,0.211629329276137,0.03076997292182,13,0,83,94,54,35.5,0
"hsa-miR-27b-3p",260.5,0,18.9033083137865,0.0632181902209499,0.0476624666893002,19,0,10,34,113,103.5,0
"hsa-miR-29c-3p",251,0,28.8609290619293,-0.0776094649591438,0.0402048113670877,17,0,38,39,91,83,0
"hsa-piR-1014",247,0,36.3261538361697,0.15466381990455,0.0278005944669606,17,0,55,68,41,83,0
"hsa-piR-23020",246.5,0,58.1249054910824,-0.160497070929959,0.0304651122825168,13,0,84,74,53,35.5,0
"hsa-piR-27198",240,0,30.6752000604133,0.112511799432102,0.0309865136573664,18,0,43,47,55,95,0
"hsa-piR-32957",239.5,0,44.1068259970245,0.147595372241438,0.0339494403253247,14,0,67,60,68,44.5,0
"hsa-miR-361-5p",237,0,20.2527967500484,-0.035334067804584,0.0433017593115644,18,0,17,21,104,95,0
"hsa-piR-23358",237,0,20.3893841241963,-0.0680044836186733,0.038841045199122,18,0,20,36,86,95,0
"hsa-miR-320b",234.5,0,48.175167874589,-0.186038454438064,0.0320175059346261,11,0,73,84,60,17.5,0
"hsa-piR-24541",232,0,32.3511740729556,0.109598520735065,0.0281222930803478,18,0,48,46,43,95,0
"hsa-miR-181a-5p",230.5,0,59.5943016755545,0.173703149323002,0.0242590255636239,13,0,90,80,25,35.5,0
"hsa-miR-660-5p",228,0,28.9523228362111,0.0474040079068998,0.0376444305224804,17,0,39,26,80,83,0
"hsa-piR-32977",222,0,38.5947777207139,0.182351385270622,0.0227878392469634,15,0,61,82,22,57,0
"hsa-piR-33041",215.5,0,40.6188715138489,0.135671710279155,0.0241980753538169,16,0,64,57,24,70.5,0
"hsa-piR-28271",214,0,37.3028513438619,0.152065789333705,0.0336382377471568,12,0,57,65,66,26,0
"hsa-piR-33168",214,0,32.900379041994,-0.173861091580662,0.031856375676271,12,0,49,81,58,26,0
"hsa-piR-5747",214,0,23.9715965851284,0.054106996534926,0.0432208107741109,15,0,27,28,102,57,0
"hsa-miR-151a-5p",213.5,0,49.2770265683804,0.160062962480738,0.0293224355318636,11,0,75,72,49,17.5,0
"hsa-miR-93-5p",209.5,0,82.6382272910476,0.155561225715653,0.0204173162920563,11,0,115,69,8,17.5,0
"hsa-piR-27488",207.5,0,18.3745004823164,0.0154500534437232,0.0292007919978697,23,0,7,11,48,141.5,0
"hsa-piR-28247",197.5,0,44.9279232674032,0.160262019367064,0.02272599988642,13,0,69,73,20,35.5,0
"hsa-piR-27485",196.5,0,26.0768581641046,0.117640529544202,0.027812446313546,16,0,32,52,42,70.5,0
"hsa-miR-3613-5p",182,0,40.6441644879372,-0.11744753025718,0.027639595532408,12,0,65,51,40,26,0
"hsa-miR-125b-5p",179.5,0,39.4520012207594,0.152770415004758,0.0203699872758986,14,0,62,66,7,44.5,0
"hsa-miR-29a-3p",179.5,0,18.5707676519876,-0.062910493194938,0.0337239914472008,16,0,9,33,67,70.5,0
"hsa-miR-144-3p",176.5,0,37.8699549887482,0.119543646875448,0.0245107511390992,13,0,58,54,29,35.5,0
"hsa-miR-196b-5p",174,0,20.7811667945409,-0.0111447039707698,0.0327971402190039,17,0,21,6,64,83,0
"hsa-miR-194-5p",172,0,25.0692831787255,-0.0708789633321566,0.0376063624611298,12,0,30,37,79,26,0
"hsa-miR-328-3p",172,0,31.0497552372045,0.0730395818094981,0.0251693357395809,15,0,46,38,31,57,0
"hsa-miR-126-5p",163,0,29.5235667602375,-0.0959624711193311,0.0342347455728041,10,0,41,42,70,10,0
"hsa-miR-409-3p",159,0,39.5760366058701,0.184817110093122,0.0185484105765759,10,0,63,83,3,10,0
"hsa-miR-98-5p",158,0,23.5417247120181,0.0291270789777979,0.0267313380581246,17,0,24,16,35,83,0
