"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"PANK4","Q9NVE7",15429,8,148.031711396697,0.655161055508041,0.0146584068607206,11,0,3863,3778,3959,3829,0
"CUL7","Q14999",15415,15,199.642079187682,0.86095914992957,0.0146504147937757,8,0,4029,3998,3958,3430,0
"RPH3A","Q9Y2J0",15391.5,13,172.045180130923,1.06189852212367,0.0064607010143413,12,0,3969,4072,3447,3903.5,0
"AGT","P01019",15372,10,147.332156079151,0.670620790080167,0.0120531089240429,11,0,3858,3801,3884,3829,0
"SETD3","Q86TU7",15361.5,8,143.574275598471,0.635452635371612,0.0122734667665796,12,0,3836,3733,3889,3903.5,0
"NIT2","Q9NQR4",15359,5,130.476712667726,1.01808463920992,0.0070691772702498,15,0,3741,4064,3531,4023,0
"FSD1","Q9BTV5",15358.5,9,159.372224401429,0.738647614642128,0.0105188870855853,10,0,3923,3884,3820,3731.5,0
"PSD3","Q9NYI0",15343,11,164.46287657962,0.721466753985689,0.0133793650537995,9,0,3946,3865,3923,3609,0
"KIF5C","O60282",15341,16,192.969089790615,-0.536329969591963,0.0148706539672833,11,0,4022,3528,3962,3829,0
"DNAJC7","Q99615",15336.5,7,137.450356335353,0.638891198372695,0.0124665994023885,12,0,3799,3740,3894,3903.5,0
"MED20","Q9H944",15333.5,4,123.220638777575,0.629820762856096,0.0137302479854566,14,0,3685,3724,3934,3990.5,0
"GOPC","Q9HD26",15331.5,9,153.023247471711,0.770250596097107,0.00734390367741512,13,0,3893,3918,3566,3954.5,0
"ERAP1","Q9NZ08",15319,8,152.420974246564,0.658494874151738,0.0104892098891917,11,0,3889,3783,3818,3829,0
"GRIN1","Q05586",15314.5,5,134.293441099062,-0.584965906530034,0.0134935392496019,14,0,3768,3632,3924,3990.5,0
"PTPA","Q15257",15314.5,13,170.747231239826,0.823215549046183,0.00823819618007441,10,0,3964,3969,3650,3731.5,0
"GGCT","O75223",15306,11,166.042393341892,0.869593644492616,0.0091427273782601,9,0,3950,4002,3745,3609,0
"CD55","P08174",15304.5,4,130.368883934822,0.581712466439245,0.0206180872792178,12,0,3739,3619,4043,3903.5,0
"WIPI2","Q9Y4P8",15285.5,4,138.868175280602,-0.645438425398917,0.0104184723966227,12,0,3813,3754,3815,3903.5,0
"SYNJ2","O15056",15280,8,136.076341271158,-0.804566766171682,0.00877107538816858,11,0,3787,3955,3709,3829,0
"RHEB","Q15382",15279.5,4,124.506817737738,0.533831928713123,0.0261264813350586,14,0,3692,3521,4076,3990.5,0
"PDLIM3","Q53GG5",15278.5,6,128.886866138904,-0.711534507334026,0.0156589115959736,10,0,3718,3854,3975,3731.5,0
"GANAB","Q14697",15269.5,14,175.46648738072,0.44635250946575,0.0218188326373802,14,0,3976,3251,4052,3990.5,0
"LIMCH1","Q9UPQ0",15263.5,26,264.076666284509,-0.865236732877008,0.00643206288939442,10,0,4094,4000,3438,3731.5,0
"CCT2","P78371",15262.5,19,190.346671932683,0.547717402910247,0.00906184105208562,13,0,4018,3550,3740,3954.5,0
"EHD1","Q9H4M9",15255.5,23,202.673099865495,-0.606604171600701,0.010359973152141,10,0,4035,3676,3813,3731.5,0
"SNTA1","Q13424",15255,19,202.721261696227,0.745226713993819,0.00886347244793873,9,0,4036,3892,3718,3609,0
"MAPK1","P28482",15252,12,172.829718947789,-0.484188022540146,0.0112992799072407,17,0,3970,3360,3853,4069,0
"PON1","P27169",15242,16,195.689391934681,0.799322895974246,0.0109592556192324,8,0,4024,3950,3838,3430,0
"PCDH7","O60245",15241,5,124.49205808618,-0.604862633974856,0.0113471429988944,15,0,3691,3672,3855,4023,0
"MTREX","P42285",15231,11,156.604918628822,-0.761604697454569,0.0101637687322071,9,0,3908,3912,3802,3609,0
"TNPO3","Q9Y5L0",15229.5,5,130.521420768831,-0.534786415357041,0.0175578185798415,13,0,3742,3525,4008,3954.5,0
"FGB","P02675",15224.5,6,139.606161368692,-0.495818917184175,0.0222805430581017,13,0,3816,3398,4056,3954.5,0
"GGA2","Q9UJY4",15224.5,5,129.197897224761,0.774502085698301,0.00751866014307124,14,0,3724,3925,3585,3990.5,0
"GCLC","P48506",15223,12,163.244031174694,-0.455779291450227,0.01605272381399,15,0,3941,3277,3982,4023,0
"BRD7","Q9NPI1",15222,16,183.953126481606,-0.87528298077901,0.00775779329034222,9,0,4000,4004,3609,3609,0
"SFXN3","Q9BWM7",15214.5,6,135.267156196422,0.766154346046423,0.00986997840349755,10,0,3779,3917,3787,3731.5,0
"RDH10","Q8IZV5",15214,1,120.818240434927,-0.664007921344238,0.0136417376704328,11,0,3661,3793,3931,3829,0
"PI4KA","P42356",15209.5,15,181.911986380698,0.626710270117344,0.00762932048392384,12,0,3996,3715,3595,3903.5,0
"OSBPL6","Q9BZF3",15202,5,129.155754539832,-0.659570523234121,0.0115201022790429,11,0,3723,3786,3864,3829,0
"LCP1","P13796",15199.5,16,185.673588409557,0.675310540767951,0.00827259911113893,10,0,4004,3806,3658,3731.5,0
"TMEM165","Q9HC07",15199.5,10,166.221920095761,-0.9728034991059,0.0065558998902264,10,0,3951,4049,3468,3731.5,0
"HEATR5B","Q9P2D3",15191,5,135.210231166429,1.04659900490807,0.00699275972780307,11,0,3778,4067,3517,3829,0
"TCOF1","Q13428",15186.5,4,128.773352527582,0.636222825096121,0.0173644689136756,10,0,3714,3735,4006,3731.5,0
"ANP32A","P39687",15179.5,2,106.112119240278,0.787012539124446,0.0109313634051213,12,0,3499,3941,3836,3903.5,0
"STMN1","P16949",15178,13,175.35286921291,0.70899790585909,0.00703432510064722,11,0,3975,3851,3523,3829,0
"RAB24","Q969Q5",15170.5,13,179.565502833135,-1.27105945225366,0.00590802187043364,10,0,3990,4098,3351,3731.5,0
"ZNF598","Q86UK7",15165,12,163.690799772663,-0.593503509056608,0.00913374882391979,11,0,3943,3649,3744,3829,0
"PSIP1","O75475",15142.5,6,124.957290310376,0.648813285366138,0.0142507319558022,10,0,3698,3764,3949,3731.5,0
"AZGP1","P25311",15132,24,213.338927633319,-0.415827124743186,0.0125956737716019,16,0,4059,3123,3900,4050,0
"VPS16","Q9H269",15126,9,144.456267977017,0.609546254096011,0.0095684053738177,11,0,3842,3685,3770,3829,0
"PEX14","O75381",15117,9,155.819643772323,-0.701109768712825,0.0138156194834789,8,0,3902,3846,3939,3430,0
"RPS6KB1","P23443",15114,8,151.7654414664,-0.731666757314461,0.00579824645006074,15,0,3883,3877,3331,4023,0
"EIF4G1","Q04637",15112,9,156.07185672934,0.436181367879414,0.0156394269313434,15,0,3905,3210,3974,4023,0
"SOAT1","P35610",15107,7,151.107166990404,-0.68866830882872,0.00995349721513602,9,0,3880,3830,3788,3609,0
"SERPINB1","P30740",15099,5,144.919416381405,-0.427313007503672,0.0192407233361173,16,0,3844,3174,4031,4050,0
"TUBB4A","P04350",15092,16,181.895311368582,-0.493663031101909,0.0119398245157193,11,0,3994,3387,3882,3829,0
"HDAC6","Q9UBN7",15086.5,16,180.574495138978,-0.771636973882873,0.0171361624077043,7,0,3992,3920,4001,3173.5,0
"TAOK3","Q9H2K8",15078,8,162.181621634785,0.587478158724702,0.0124857983405348,9,0,3937,3637,3895,3609,0
"EXOC2","Q96KP1",15077.5,14,185.155098352534,0.493412796105393,0.0146753532178599,10,0,4002,3384,3960,3731.5,0
"IGHG3","P01860",15069,9,160.456535016943,0.477906305216292,0.00972303582042325,15,0,3927,3341,3778,4023,0
"USP39","Q53GS9",15066,1,95.2614428252735,0.541920398648658,0.0302003843798765,20,0,3348,3539,4085,4094,0
"STT3A","P46977",15064,20,212.412555129404,0.760279103277429,0.00837715437333641,8,0,4055,3910,3669,3430,0
"VAC14","Q08AM6",15061,5,115.395780905981,-0.449593447693691,0.0383135132697102,20,0,3613,3258,4096,4094,0
"RAD50","Q92878",15045,6,137.31869645075,0.430006213931915,0.0178532590014104,16,0,3796,3185,4014,4050,0
"AKAP9","Q99996",15038.5,14,189.986919407099,0.507269496969944,0.00855491633456564,12,0,4017,3435,3683,3903.5,0
"UBE2Z","Q9H832",15022,3,94.1349858731308,0.630166911986401,0.0140735832739306,15,0,3330,3725,3944,4023,0
"LRBA","P50851",15019.5,8,154.559158627128,0.448130179173135,0.0149808493105186,12,0,3898,3255,3963,3903.5,0
"PCM1","Q15154",15013.5,21,220.233074898423,0.68242576227071,0.0145962826602903,7,0,4064,3820,3956,3173.5,0
"TNS3","Q68CZ2",15010.5,15,197.975275548431,-1.09789127897344,0.00899432317821504,7,0,4025,4078,3734,3173.5,0
"WARS1","P23381",15009,11,164.85280655017,0.77589837075991,0.00867230197280476,8,0,3947,3930,3702,3430,0
"ITCH","Q96J02",14992.5,3,134.951582363142,0.442243954693088,0.0268895851380366,12,0,3777,3232,4080,3903.5,0
"EXOC5","O00471",14992,11,161.198731212723,0.913301213239385,0.0063520225137502,9,0,3932,4024,3427,3609,0
"SEC24C","P53992",14991,9,156.501223843828,-0.386990345085777,0.0216516020609495,16,0,3907,2983,4051,4050,0
"COMMD9","Q9P000",14978,10,161.79918925058,0.831319914794047,0.00807767091530142,8,0,3936,3975,3637,3430,0
"NECTIN1","Q15223",14972,14,188.925783872977,-0.516065502412947,0.00837901924052483,11,0,4014,3459,3670,3829,0
"HCN2","Q9UL51",14966,10,158.143812730761,0.632433448885464,0.00678607734610494,11,0,3918,3728,3491,3829,0
"EHBP1","Q8NDI1",14946,5,128.420715899061,-0.529698639855438,0.0125519815645928,11,0,3712,3507,3898,3829,0
"AMER2","Q8N7J2",14941.5,6,142.051033464156,-0.399180914319447,0.0314031937024322,14,0,3830,3032,4089,3990.5,0
"PKN2","Q16513",14939.5,3,122.307106591799,0.887997657901837,0.00703290062881488,10,0,3676,4010,3522,3731.5,0
"AURKA","O14965",14929.5,5,134.759947649883,0.526372311114933,0.00876277340388166,13,0,3773,3494,3708,3954.5,0
